Titulo,Ano,Duracao,Classificacao_Indicativa,Classificação_no_IMDb,Qtd_Avaliacoes,Direcao,Atores,Legenda,Prime_Video
Um Sonho de Liberdade,1994,2h 22m,16,"9,3","2,8 mi",Direção Frank Darabont,"Frank Darabont, Tim Robbins, Morgan Freeman","Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.",https://www.primevideo.com/detail/amzn1.dv.gti.20b4c3cf-b703-aebb-41bd-0dc683f8c0c8
O Poderoso Chefão,1972,2h 55m,14,"9,2",2 mi,Direção Francis Ford Coppola,"Francis Ford Coppola, Marlon Brando, Al Pacino",O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,https://www.primevideo.com/detail/amzn1.dv.gti.e2aef408-a1ba-d501-4e4a-56369e813e64
Batman: O Cavaleiro das Trevas,2008,2h 32m,12,"9,0","2,8 mi",Direção Christopher Nolan,"Christopher Nolan, Christian Bale, Heath Ledger","Quando a ameaça conhecida como O Coringa surge de seu passado, causa estragos e caos nas pessoas de Gotham. O Cavaleiro das Trevas deve aceitar um dos maiores testes para combater a injustiça.",https://www.primevideo.com/detail/amzn1.dv.gti.18b7edbe-a800-19a8-45b5-c1804b71a7a5
O Poderoso Chefão II,1974,3h 22m,14,"9,0","1,3 mi",Direção Francis Ford Coppola,"Francis Ford Coppola, Al Pacino, Robert De Niro","Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.",https://www.primevideo.com/detail/amzn1.dv.gti.2e38f05f-166a-4bfc-beb7-5153250bcdb6
12 Homens e uma Sentença,1957,1h 36m,Livre,"9,0",836 mil,Direção Sidney Lumet,"Sidney Lumet, Henry Fonda, Lee J. Cobb","O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.",https://www.primevideo.com/detail/amzn1.dv.gti.b4b56443-0428-448c-35fa-81e2c7709788
A Lista de Schindler,1993,3h 15m,14,"9,0","1,4 mi",Direção Steven Spielberg,"Steven Spielberg, Liam Neeson, Ralph Fiennes","Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a ser preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.",https://www.primevideo.com/detail/amzn1.dv.gti.9cabed31-31e5-e49a-41e9-0ea0423d2cbf
O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,14,"9,0","1,9 mi",Direção Peter Jackson,"Peter Jackson, Elijah Wood, Viggo Mortensen",Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.,https://www.primevideo.com/detail/amzn1.dv.gti.91d91081-a2e1-4004-af7d-4efb31e99e27
Pulp Fiction - Tempo de Violência,1994,2h 34m,18,"8,9","2,2 mi",Direção Quentin Tarantino,"Quentin Tarantino, John Travolta, Uma Thurman","As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.",https://www.primevideo.com/detail/amzn1.dv.gti.6eabfbe6-d1b6-c160-b583-7edbaa26d96b
O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,12,"8,8",2 mi,Direção Peter Jackson,"Peter Jackson, Elijah Wood, Ian McKellen",Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,https://www.primevideo.com/detail/amzn1.dv.gti.f143d0a2-ea83-4f24-93cd-e5ed0d7bc3eb
Três Homens em Conflito,1966,2h 41m,14,"8,8",792 mil,Direção Sergio Leone,"Sergio Leone, Clint Eastwood, Eli Wallach",Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,https://www.primevideo.com/detail/amzn1.dv.gti.8cb76505-a346-17ee-9039-c6087dac2d87
